"1","altus ","alta, altum","adjective","high, deep","high, deep"
"2","audax ","audacis","adjective","bold, daring","bold, daring"
"3","bonus ","bona, bonum","adjective","good","good"
"4","brevis ","breve","adjective","short, brief","short, brief"
"5","celer ","celeris, celere","adjective","quick, fast","quick, fast"
"6","ceteri ","ceterae, cetera","adjective","the rest, the others","the rest, the others"
"7","clarus","clara, clarum","adjective","famous, clear","famous, clear"
"8","crudelis ","crudele","adjective","cruel","cruel"
"9","difficilis ","difficile","adjective","difficult","difficult"
"10","diligens","diligentis","adjective","careful","careful"
"11","dirus ","dira, dirum","adjective","dreadful","dreadful"
"12","facilis ","facile","adjective","easy","easy"
"13","felix ","felicis","adjective","fortunate, happy, lucky","fortunate, happy, lucky"
"14","ferox ","ferocis","adjective","fierce, ferocious","fierce, ferocious"
"15","fidelis ","fidele","adjective","faithful, loyal","faithful, loyal"
"16","fortis ","forte","adjective","brave","brave"
"17","gravis ","grave","adjective","heavy, serious","heavy, serious"
"18","infelix ","infelicis","adjective","unlucky, unhappy, unfortunate","unlucky, unhappy, unfortunate"
"19","ingens ","ingentis","adjective","huge","huge"
"20","iratus ","irata, iratum","adjective","angry","angry"
"21","laetus ","laeta, laetum","adjective","happy","happy"
"22","lentus","lenta, lentum","adjective","slow","slow"
"23","longus ","longa, longum","adjective","long","long"
"24","magnus ","magna, magnum","adjective","big, large, great","big, large, great"
"25","malus ","mala, malum","adjective","evil, bad","evil, bad"
"26","medius ","media, medium","adjective","middle","middle"
"27","miser ","misera, miserum","adjective","miserable, wretched, sad","miserable, wretched, sad"
"28","multus ","multa, multum","adjective","much, many","much, many"
"29","nonnulli","nonnullae, nonnulla","adjective","some, several","some, several"
"30","novus ","nova, novum","adjective","new","new"
"31","nullus ","nulla, nullum","adjective","not any, no","not any, no"
"32","omnis ","omne","adjective","all, every","all, every"
"33","parvus ","parva, parvum","adjective","small","small"
"34","perterritus ","perterrita, perterritum","adjective","terrified","terrified"
"35","primus ","prima, primum","adjective","first","first"
"36","proximus ","proxima, proximum","adjective","nearest, next to","nearest, next to"
"37","pulcher ","pulchra, pulchrum","adjective","beautiful, handsome, pretty","beautiful, handsome, pretty"
"38","qualis? ","quale","adjective","what sort of?","what sort of?, what sort of"
"39","quantus? ","quanta? quantum?","adjective","how big?,how much?","how big?, how much?, how big, how much"
"40","quot? ","indeclinable","adjective","how many?","how many?, how many"
"41","Romanus ","Romana, Romanum","adjective","Roman","Roman"
"42","sacer ","sacra, sacrum","adjective","sacred","sacred"
"43","saevus ","saeva, saevum","adjective","savage, cruel","savage, cruel"
"44","scelestus ","scelesta, scelestum","adjective","wicked","wicked"
"45","solus ","sola, solum","adjective","alone, lonely, only, on one's own","alone, lonely, only, on one's own"
"46","stultus ","stulta, stultum","adjective","stupid, foolish","stupid, foolish"
"47","summus ","summa, summum","adjective","highest, greatest, top (of)","highest, greatest, top, top of, top (of)"
"48","talis ","tale","adjective","such, of such a kind","such, of such a kind"
"49","tantus ","tanta, tantum","adjective","so great, such a great","so great, such a great"
"50","tot ","indeclinable","adjective","so many","so many"
"51","totus ","tota, totum","adjective","whole","whole"
"52","tristis ","triste","adjective","sad","sad"
"53","validus ","valida, validum","adjective","strong","strong"
"54","pauci ","paucae, pauca","adjective plural","few, a few","few, a few"
"55","adeo ","indeclinable","adverb","so much, so greatly, to such an extent","so much, so greatly, to such an extent"
"56","antea","indeclinable","adverb","before","before"
"57","bene ","indeclinable","adverb","well","well"
"58","cras","indeclinable","adverb","tomorrow","tomorrow"
"59","cur?","indeclinable","adverb","why?","why?, why"
"60","deinde","indeclinable","adverb","then","then"
"61","diu ","indeclinable","adverb","for a long time","for a long time"
"62","ecce!","indeclinable","adverb","look!","look!, look"
"63","etiam ","indeclinable","adverb","also, even","also, even"
"64","forte","indeclinable","adverb","by chance","by chance"
"65","frustra","indeclinable","adverb","in vain","in vain"
"66","heri","indeclinable","adverb","yesterday","yesterday"
"67","hodie ","indeclinable","adverb","today","today"
"68","iam ","indeclinable","adverb","now, already","now, already"
"69","ibi ","indeclinable","adverb","there","there"
"70","igitur","indeclinable","adverb","therefore, and so","therefore, and so, so"
"71","interea ","indeclinable","adverb","meanwhile","meanwhile"
"72","ita ","indeclinable","adverb","in this way, to such an extent, so","in this way, to such an extent, so"
"73","itaque ","indeclinable","adverb","and so, therefore","and so, therefore"
"74","iterum ","indeclinable","adverb","again","again"
"75","libenter ","indeclinable","adverb","willingly, gladly","willingly, gladly"
"76","maxime","indeclinable","adverb","very greatly, most","very greatly, most"
"77","minime ","indeclinable","adverb","very little, least, no","very little, least, no"
"78","mox ","indeclinable","adverb","soon","soon"
"79","multo","indeclinable","adverb","much","much"
"80","non ","indeclinable","adverb","not","not"
"81","nonne ...? ","indeclinable","adverb","surely ... ?","surely ... ?,surely,surely?"
"82","numquam ","indeclinable","adverb","never","never"
"83","nunc ","indeclinable","adverb","now","now"
"84","olim ","indeclinable","adverb","once, some time ago","once, some time ago"
"85","paene ","indeclinable","adverb","almost, nearly","almost, nearly"
"86","postea ","indeclinable","adverb","afterwards","afterwards"
"87","postridie ","indeclinable","adverb","on the next day","on the next day"
"88","primo ","indeclinable","adverb","at first","at first"
"89","quam ","indeclinable","adverb","than, how ... ? how ... !","than, how ... ?, how ... !, how"
"90","quando?","indeclinable","adverb","when?","when?"
"91","quo? ","indeclinable","adverb","to where?","to where?"
"92","quomodo? ","indeclinable","adverb","how?","how?"
"93","saepe ","indeclinable","adverb","often, always","often, always"
"94","semper ","indeclinable","adverb","always","always"
"95","sic ","indeclinable","adverb","thus, in this way","thus, in this way"
"96","simul ","indeclinable","adverb","at the same time, simultaneously","at the same time, simultaneously"
"97","statim ","indeclinable","adverb","at once, immediately","at once, immediately"
"98","subito ","indeclinable","adverb","suddenly","suddenly"
"99","tam ","indeclinable","adverb","so","so"
"100","tamen ","indeclinable","adverb","however","however"
"101","tandem ","indeclinable","adverb","at last, finally","at last, finally"
"102","tum ","indeclinable","adverb","then","then"
"103","ubi","indeclinable","adverb","where? where, when,","where?, where, when"
"104","umquam ","indeclinable","adverb","ever","ever"
"105","unde? ","indeclinable","adverb","from where?","from where?"
"106","vehementer ","indeclinable","adverb","violently, loudly","violently, loudly"
"107","ac, atque ","indeclinable","conjunction","and","and"
"108","cum ","indeclinable","conjunction","when, since, with","when, since, with"
"109","dum ","indeclinable","conjunction","while, until","while, until"
"110","enim ","indeclinable","conjunction","for","for"
"111","et ","indeclinable","conjunction","and, even","and, even"
"112","nam ","indeclinable","conjunction","for","for"
"113","ne ","indeclinable + subjunctive","conjunction","that ... not, so that ... not, that, lest","that ... not, so that ... not, that, lest"
